"A","B","C","D","board start","board end","lvl","path",,,,,,,,,,,,,,,,,,,
0,2,3,8,"A*BC****D****** ","ABCD*** ********",20,15,14,13,9,8,12,13,14,10,9,5,6,10,11,7,6,5,1,2,3
0,2,3,12,"A*BC********D** ","ABCD*** ********",20,15,14,13,12,8,9,13,14,10,9,5,6,10,11,7,6,5,1,2,3
0,2,13,1,"ADB**********C* ","*A***B***C **D**",20,15,14,13,9,5,1,2,6,10,14,13,9,5,1,0,4,8,12,13,9
0,3,1,8,"AC*B****D****** "," A***B***C***D**",20,15,14,10,6,2,3,7,6,5,1,2,6,10,9,8,12,13,9,5,1
0,3,2,12,"A*CB********D** "," A***B***C***D**",20,15,14,13,12,8,9,5,1,2,3,7,6,5,1,2,6,10,9,5,1
0,3,5,4,"A**BDC********* ","** *ABCD********",20,15,14,10,6,5,4,0,1,2,6,5,1,2,3,7,6,2,1,5,6
0,3,6,4,"A**BD*C******** ","** *ABCD********",20,15,14,13,9,5,4,0,1,2,6,5,1,2,3,7,6,2,1,5,6
0,3,7,4,"A**BD**C******* ","ABCD*** ********",20,15,14,13,9,5,4,8,9,10,6,5,1,2,3,7,6,5,1,2,3
0,3,7,8,"A**B***CD****** ","ABCD*** ********",20,15,14,13,9,8,4,5,9,10,6,5,1,2,3,7,6,5,1,2,3
0,3,8,5,"A**B*D**C****** ","*A***B** C***D**",20,15,14,13,9,5,6,2,3,7,6,2,1,0,4,5,6,10,14,13,9
0,3,9,4,"A**BD****C***** ","****ABCD** *****",20,15,14,10,9,5,4,0,1,2,6,5,1,2,3,7,6,2,1,5,6
0,3,10,4,"A**BD*****C**** ","****ABCD** *****",20,15,14,13,9,5,4,0,1,2,6,5,1,2,3,7,6,2,1,5,6
0,3,11,12,"A**B*******CD** ","** A**B**C**D***",20,15,14,10,11,7,3,2,1,0,4,8,9,10,6,2,1,5,6,7,3
0,3,12,5,"A**B*D******C** ","*A***B** C***D**",20,15,11,7,3,2,6,7,11,10,9,5,6,2,1,0,4,8,12,13,9
0,3,12,8,"A**B****D***C** ","*A***B** C***D**",20,15,14,10,6,2,3,7,6,2,1,0,4,5,6,10,9,8,12,13,9
0,3,13,5,"A**B*D*******C* ","*A***B***C **D**",20,15,14,13,9,5,6,2,3,7,6,2,1,0,4,5,6,10,14,13,9
0,6,3,8,"A**C**B*D****** ","** *ABCD********",20,15,14,13,9,8,4,0,1,2,3,7,11,10,9,5,6,10,11,7,6
0,6,3,12,"A**C**B*****D** "," A***B***C***D**",20,15,14,13,12,8,9,5,6,2,3,7,6,2,1,5,6,10,9,5,1
0,6,12,2,"A*D***B*****C** ","****ABCD** *****",20,15,14,13,12,8,9,13,14,10,9,8,4,0,1,5,6,2,3,7,6
0,7,2,4,"A*C*D**B******* ","** *ABCD********",20,15,14,13,9,5,4,0,1,5,6,7,3,2,1,5,6,2,3,7,6
0,7,6,4,"A***D*CB******* "," A***B***C***D**",20,15,14,13,12,8,4,5,6,7,11,10,9,8,12,13,9,5,6,2,1
0,7,8,1,"AD*****BC****** ","ABCD* **********",20,15,14,13,9,8,4,5,9,10,6,7,3,2,1,5,6,7,3,2,1
0,7,8,4,"A***D**BC****** "," A***B***C***D**",20,15,14,10,6,7,11,10,9,8,4,5,9,8,12,13,9,5,6,2,1
0,7,9,4,"A***D**B*C***** ","****ABCD** *****",20,15,14,10,9,5,4,0,1,5,6,7,3,2,1,5,6,2,3,7,6
0,7,10,4,"A***D**B**C**** ","****ABCD** *****",20,15,14,13,9,5,4,0,1,5,6,7,3,2,1,5,6,2,3,7,6
0,7,14,1,"AD*****B******C ","*A***B***C **D**",20,15,11,10,6,7,11,10,9,5,1,0,4,8,9,5,6,10,14,13,9
0,8,7,4,"A***D**CB****** ","A***B **C***D***",20,15,14,10,6,7,11,10,9,5,6,10,9,8,4,5,9,13,12,8,4
0,8,12,2,"A*D*****B***C** ","*A***B** C***D**",20,15,14,13,9,5,1,2,6,5,1,0,4,8,9,5,4,8,12,13,9
0,8,12,3,"A**D****B***C** ","A***B***C***D **",20,15,11,7,3,2,6,7,11,10,6,5,9,10,14,13,9,5,4,8,12
0,9,3,8,"A**C****DB***** ","** *ABCD********",20,15,14,10,9,8,4,5,9,10,6,5,9,8,4,0,1,2,3,7,6
0,9,12,2,"A*D******B**C** ","*A***B** C***D**",20,15,14,10,6,2,1,0,4,8,12,13,14,10,6,5,9,10,14,13,9
0,9,12,3,"A**D*****B**C** "," ***ABCD********",20,15,11,7,3,2,6,5,9,8,12,13,9,8,4,5,9,10,6,5,4
0,10,3,4,"A**CD*****B**** ","** *ABCD********",20,15,14,13,9,10,6,5,4,0,1,2,3,7,6,5,9,10,11,7,6
0,10,3,8,"A**C****D*B**** ","** *ABCD********",20,15,14,13,9,8,4,5,9,10,6,5,9,8,4,0,1,2,3,7,6
0,10,12,1,"AD********B*C** ","*A***B** C***D**",20,15,14,13,9,5,1,2,6,10,9,5,6,2,1,0,4,8,12,13,9
0,10,12,2,"A*D*******B*C** ","*A***B** C***D**",20,15,11,7,6,2,1,5,6,10,9,5,6,2,1,0,4,8,12,13,9
0,11,4,2,"A*D*C******B*** "," ***ABCD********",20,15,14,10,11,7,6,5,4,8,9,10,6,2,3,7,6,5,9,8,4
0,11,6,4,"A***D*C****B*** ","** *ABCD********",20,15,14,13,9,5,4,0,1,2,6,5,9,10,11,7,6,10,9,5,6
0,11,7,1,"AD*****C***B*** ","ABCD* **********",20,15,14,10,6,7,11,10,9,5,6,7,3,2,1,5,6,7,3,2,1
0,11,8,2,"A*D*****C**B*** ","*A***B** C***D**",20,15,14,10,11,7,6,2,1,0,4,5,9,10,6,5,9,10,14,13,9
0,11,8,4,"A***D***C**B*** "," A***B***C***D**",20,15,14,10,11,7,6,10,9,8,4,5,9,8,12,13,9,5,6,2,1
0,11,10,1,"AD********CB*** ","*A***B***C **D**",20,15,14,10,11,7,6,10,9,5,1,0,4,8,9,5,6,10,14,13,9
0,11,10,4,"A***D*****CB*** ","****ABCD** *****",20,15,14,13,9,5,4,0,1,2,6,5,9,10,11,7,6,10,9,5,6
0,11,12,6,"A*****D****BC** ","****ABCD** *****",20,15,14,13,12,8,9,13,14,10,11,7,6,10,9,8,4,0,1,5,6
0,11,13,3,"A**D*******B*C* ","****ABCD** *****",20,15,14,13,9,10,11,7,3,2,6,10,14,13,12,8,4,0,1,5,6
0,12,2,5,"A*C**D******B** ","** *ABCD********",20,15,14,13,12,8,9,13,14,10,6,5,4,0,1,5,9,10,11,7,6
0,12,3,2,"A*DC********B** "," ***ABCD********",20,15,14,13,12,8,9,13,14,10,6,2,3,7,6,2,1,5,9,8,4
0,12,3,5,"A**C*D******B** ","** *ABCD********",20,15,14,13,12,8,9,13,14,10,6,5,9,8,4,0,1,2,3,7,6
0,12,4,2,"A*D*C*******B** "," ***ABCD********",20,15,14,13,9,8,12,13,9,5,4,8,9,10,6,2,3,7,6,5,4
0,12,5,1,"AD***C******B** ","ABCD* **********",20,15,14,13,12,8,9,13,14,10,6,2,1,5,9,10,11,7,3,2,1
0,12,6,1,"AD****C*****B** ","*A***B***C **D**",20,15,14,10,6,5,1,0,4,8,9,5,4,8,12,13,9,8,4,5,9
0,12,7,5,"A****D*C****B** ","****ABCD** *****",20,15,11,7,6,5,9,8,12,13,9,8,4,0,1,5,9,10,11,7,6
0,12,8,3,"A**D****C***B** "," ***ABCD********",20,15,11,7,3,2,6,5,4,8,12,13,9,5,4,8,9,10,6,5,4
0,12,9,1,"AD*******C**B** ","*A***B** C***D**",20,15,14,13,9,8,12,13,9,5,1,0,4,8,9,5,4,8,12,13,9
0,12,10,1,"AD********C*B** ","*A***B***C **D**",20,15,14,13,9,8,12,13,9,5,1,0,4,8,9,5,4,8,12,13,9
0,12,13,1,"AD**********BC* ","*A***B** C***D**",20,15,14,10,9,8,12,13,9,5,1,0,4,8,9,5,4,8,12,13,9
0,12,13,2,"A*D*********BC* ","A***B***C***D **",20,15,14,10,6,2,1,5,6,10,9,5,4,8,12,13,9,5,4,8,12
0,12,14,3,"A**D********B*C ","***D**C* B**A***",20,15,11,10,14,13,12,8,4,0,1,5,9,8,4,5,6,10,9,13,12
0,13,2,1,"ADC**********B* "," ***ABCD********",20,15,14,10,9,13,14,10,6,2,1,5,6,2,3,7,6,5,9,8,4
0,13,2,4,"A*C*D********B* ","A***B **C***D***",20,15,14,10,6,2,1,5,6,10,9,13,12,8,4,5,9,13,12,8,4
0,13,6,1,"AD****C******B* ","ABCD* **********",20,15,14,10,9,13,12,8,4,5,6,2,1,5,9,10,11,7,3,2,1
0,13,8,1,"AD******C****B* ","*A***B** C***D**",20,15,14,10,9,13,12,8,9,5,1,0,4,8,9,5,4,8,12,13,9
0,13,9,1,"AD*******C***B* ","*A***B***C **D**",20,15,14,10,9,13,12,8,9,5,1,0,4,8,9,5,4,8,12,13,9
0,13,10,1,"AD********C**B* ","*A***B***C **D**",20,15,14,13,9,5,1,0,4,8,9,5,6,10,14,13,9,10,6,5,9
